tipo_persona,nombre,rut,funcion_o_carrera,edificio,sala,fecha,hora_inicio,hora_fin
Alumno,Fernanda Soto,10000155-8,Geologia,K,66,2025-10-3,13:00,15:00
Alumno,Felipe Perez,10022684-5,Ingenieria Civil Industrial Doble Titulacion,I,44,2025-10-23,15:00,17:00
Alumno,Valentina Gomez,10013654-3,Global Business Administration,J,29,2025-10-9,11:00,13:00
Alumno,Camila Soto,10024517-9,Derecho,H,47,2025-10-4,11:00,14:00
Alumno,Matias Gomez,10010792-0,Medicina,J,42,2025-10-8,8:00,10:00
Alumno,Fernanda Diaz,10024175-5,Pedagogia en Educacion de Parvulos con Menciones: Ingles y Aprendizaje al Aire Libre,C,64,2025-10-3,11:00,12:00
Alumno,Andres Torres,10023521-1,Ingenieria Civil Plan Comun,M,49,2025-10-12,17:00,20:00
Alumno,Sofia Perez,10013963-0,Diseno,M,29,2025-10-20,10:00,13:00
Alumno,Valentina Perez,10019797-4,Psicologia,M,53,2025-10-15,17:00,18:00
Alumno,Camila Gomez,10021478-4,Arquitectura,A,37,2025-10-10,9:00,12:00
Profesor,Fernanda Perez,10019985-3,Docente,M,41,2025-10-01,15:00,17:00
Profesor,Matias Soto,10010970-9,Docente,I,23,2025-10-11,17:00,20:00
Profesor,Fernanda Perez,10001208-1,Jefe de carrera,M,48,2025-10-22,10:00,12:00
Profesor,Fernanda Diaz,10016648-5,Jefe de carrera,E,28,2025-10-19,11:00,12:00
Alumno,Juan Lopez,10017327-1,Tecnologia Medica,F,31,2025-10-10,13:00,15:00
Profesor,Felipe Torres,10008635-4,Jefe de carrera,K,44,2025-10-24,11:00,14:00
Profesor,Andres Diaz,10020504-8,Jefe de carrera,D,44,2025-10-02,16:00,19:00
Alumno,Juan Lopez,10017875-9,Geologia,G,64,2025-10-4,12:00,15:00
Profesor,Valentina Torres,10000593-3,Jefe de carrera,C,20,2025-10-25,17:00,18:00
Profesor,Camila Rojas,10013120-9,Investigador,D,51,2025-10-06,13:00,14:00
